DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
5,12,2013,Thursday,12/5/2013,10,0.240218290
30,8,2013,Friday,8/30/2013,18,0.382032934
22,5,2012,Tuesday,5/22/2012,16,0.308804407
2,6,2013,Sunday,6/2/2013,18,0.711393797
15,7,2013,Monday,7/15/2013,20,0.614216240
3,3,2014,Monday,3/3/2014,2,0.164481530
21,4,2013,Sunday,4/21/2013,16,0.294332405
29,6,2012,Friday,6/29/2012,18,0.591715282
27,1,2014,Monday,1/27/2014,6,0.175340870
11,12,2012,Tuesday,12/11/2012,22,0.254322518
22,1,2013,Tuesday,1/22/2013,20,0.443646214
6,5,2013,Monday,5/6/2013,22,0.365106907
8,9,2013,Sunday,9/8/2013,20,0.407590957
20,3,2012,Tuesday,3/20/2012,22,0.296388930
6,12,2012,Thursday,12/6/2012,18,0.324695546
22,12,2011,Thursday,12/22/2011,22,0.245709756
8,1,2014,Wednesday,1/8/2014,0,0.183588000
15,11,2013,Friday,11/15/2013,6,0.237211046
16,11,2013,Saturday,11/16/2013,14,0.262971354
12,6,2012,Tuesday,6/12/2012,20,0.629656749
27,4,2012,Friday,4/27/2012,20,0.471953532
25,10,2013,Friday,10/25/2013,12,0.213464912
28,1,2012,Saturday,1/28/2012,18,0.399728614
23,3,2013,Saturday,3/23/2013,18,0.434959631
1,1,2013,Tuesday,1/1/2013,16,0.537765530
25,8,2012,Saturday,8/25/2012,18,0.484131705
31,10,2011,Monday,10/31/2011,18,0.389865546
4,7,2012,Wednesday,7/4/2012,22,0.591328917
28,2,2014,Friday,2/28/2014,6,0.253646811
10,11,2011,Thursday,11/10/2011,20,0.373964567
10,4,2013,Wednesday,4/10/2013,20,0.383191462
30,1,2014,Thursday,1/30/2014,2,0.186760035
17,8,2013,Saturday,8/17/2013,22,0.374304656
6,3,2012,Tuesday,3/6/2012,16,0.316562800
4,7,2013,Thursday,7/4/2013,18,0.543178876
3,8,2012,Friday,8/3/2012,16,0.338808592
26,7,2013,Friday,7/26/2013,16,0.305741690
24,10,2013,Thursday,10/24/2013,4,0.169582018
15,10,2012,Monday,10/15/2012,22,0.254809545
